,aback,about,above,across,after,against,ahead,along,among,apart,around,as,aside,at,away,back,before,behind,below,between,beyond,by,down,even,for,forth,forward,from,in,into,it,of,off,on,one,onto,open,out,over,past,round,through,to,together,toward,towards,under,up,upon,way,with,without
cross,0,3791,1413,1262,4989,2663,122,573,121,40,4918,20731,54,32159,521,9397,6827,1876,398,181102,244,13594,1389,2826,43332,2,83,30744,76177,54710,87205,45240,26179,69351,10544,1287,1181,43572,212075,560,104,14288,84724,658,97,562,3820,15273,372,593,44392,6951
crowd,1,4320,258,287,11470,2863,226,795,349,132,25824,37932,209,76608,1842,5385,8747,9188,1583,1056,188,12840,3252,5537,62212,1,85,15878,98944,12404,12668,321885,2134,39025,1354,572,73,21756,7533,101,488,1648,122193,1680,404,1377,961,11485,120,586,48639,5603
cruise,0,1333,342,750,2067,177,90,5949,45,12,42006,11195,40,23380,537,1745,2225,306,157,756,18,6390,7499,559,21468,1,63,6088,43694,3261,2790,3556,1030,26767,1702,76,19,3519,3855,2415,320,23764,36800,1361,63,247,341,4200,24,133,22642,1728
crumb,0,82,11,7,91,2,0,16,1,6,51,326,3,359,28,57,84,67,8,38,0,245,42,53,850,1,4,1045,1515,112,285,11149,424,1930,43,13,4,223,55,1,0,18,1345,34,9,19,145,107,1,7,558,61
cry,0,443991,194,158,25534,3522,35,1176,304,65,2527,42989,59,139628,3831,1383,11607,809,55,853,77,13919,376,12350,334705,36,10,221566,192788,22909,48154,91335,1242,127118,2728,373,111,92309,98285,58,35,3478,101535,13530,55,373,1555,1092,829,1611,57829,5164
cuddle,0,57,4,6,5414,626,1,26,28,1,260,1920,2,3141,291,528,1672,67,2,225,3,534,126,380,9443,0,1,2475,10590,1357,8313,442,74,8501,1133,32,4,219,157,4,2,176,2737,2961,1,8,1662,41457,15,69,119400,1125
curl,0,229,61,47,731,246,1,82,9,12,4897,2719,4,4099,717,2989,602,237,21,83,13,862,1000,376,3836,2,260,1558,15389,13526,12441,6202,516,5589,1914,84,30,1658,1603,45,115,174,8180,146,112,344,1212,143107,42,134,4691,640
cuss,0,678,1,2,104,8,0,9,4,0,1043,668,0,11775,90,235,136,10,0,3,1,60,25,82,614,0,0,140,6335,65,788,320,98,3432,99,0,2,9219,114,2,2,37,980,13,4,16,184,760,1,178,537,198
cut,0,28577,48384,39806,30497,6183,3551,9673,288,8322,23152,122376,315,102361,97948,526688,33040,2055,4780,14892,463,115592,1253366,13401,250158,56,1410,316649,638661,330421,1853243,463334,2264916,178383,67219,1118,88727,1656814,24631,2517,977,303941,725798,15118,847,3699,5998,322637,412,26961,189749,15396
dab,0,525,39,93,2445,155,1,88,6,4,630,1983,4,7673,1255,3297,1944,308,23,1566,4,462,288,225,5430,1,10,1680,58822,3044,23855,52174,3227,42876,490,722,4,2225,707,7,6,414,5238,153,8,29,448,994,45,109,6578,566
dally,0,292,3,8,41,2,1,26,0,0,1056,68,0,179,12,11,27,10,1,33,0,49,10,11,234,4,0,93,881,25,15,20,23,692,3,3,2,22,95,2,2,19,102,3,0,4,2,13,1,8,828,12
damp,0,128,5,16,1390,53,3,22,1,0,212,1670,1,1602,33,98,734,41,48,87,4,377,1321,252,2940,0,2,4819,4246,52,2265,300,236,1509,571,9,8,1420,169,1,9,87,2840,3,4,12,250,109,27,15,4448,128
dash,0,870,658,4058,5969,772,312,442,86,1940,8531,15369,100,14533,21007,18401,4171,2849,193,8745,40,3545,2605,1290,36504,24,14735,9577,58279,19756,5926,193578,7916,21538,2217,1454,196,22935,6474,1876,77,20267,87678,276,1185,5989,2839,8213,104,337,20629,2481
date,3,12928,1992,1500,34966,1024,1412,1917,422,226,21836,119469,507,97783,1024,64123,40810,680,1954,6069,1066,43952,11128,12705,394142,22,3626,54328,363100,5981,82319,574267,5508,477961,44184,338,908,21615,8627,1021,77,5342,308283,5232,102,343,3656,15884,802,2692,983162,21906
dawn,0,681,83,81,1995,234,37,138,60,18,261,6804,35,4299,74,756,1938,80,17,109,20,7358,212,676,16778,1,15,4120,15581,800,2269,413418,289,41283,1098,67,35,794,1412,27,16,299,25690,339,79,49,221,371,985,114,7010,878
deal,0,375697,1833,1131,34676,6190,944,2459,2143,420,18007,282127,798,244505,2583,19156,33635,3606,1031,34755,1061,54188,6012,31420,1085320,10,392,93075,601512,4391,71363,1097626,8450,590465,11474,278,297,324426,53521,674,248,17985,848155,3310,296,1315,6231,12936,605,6077,17972374,42850
decide,0,19953,37,31,16564,27746,3430,380,2066,17,330,18714,10,22586,106,131,10139,131,11,259709,193,16660,1162,1135,380697,2,7,26573,40352,204,198112,5578,605,584417,18061,24,84,1571,6373,69,27,1845,4761425,10866,18,125,548,1040,15328,196,15122,3524
deck,0,3302,3008,976,22885,27417,424,3364,448,1936,55751,101480,1114,77239,1522,10174,29092,2338,2140,2920,563,32176,10419,13576,240866,1,249,59263,293237,24530,46604,236150,5799,75911,5419,1925,585,52921,14715,441,241,3289,366115,10440,305,1636,3002,11325,344,2265,392221,42920
declare,0,343,95,11,1189,728,136,13,10,2,266,7048,2,3789,37,82,1576,14,174,66,22,1057,19,280,14216,1,12,430,4498,108,98754,247,73,19675,5849,11,1667,391,469,32,27,119,13253,32,1,15,1143,627,216,91,4699,497
defer,0,49,0,2,127,31,2,0,7,0,13,617,1,332,71,714,60,1,0,77,2,170,18,103,2669,0,0,1780,855,88,4527,27,24,1392,330,12,1,57,54,20,0,44,169990,0,14,55,24,273,5,33,187,78
delight,0,359,16,23,495,24,11,21,40,7,67,4882,8,7324,14,80,315,20,1,64,26,1368,58,214,4499,0,1,2108,63974,164,1092,14771,54,3774,211,12,3,361,956,4,3,140,34454,46,7,24,37,53,242,11,2291,163
deliver,0,1969,306,506,2922,677,132,115,23,10,1541,13110,17,17308,31,697,2814,45,73,724,260,6611,279,3604,23771,13,13,5179,43201,808,164541,1318,161,163584,9352,176,74,1461,2138,289,51,1327,127104,66,7,48,690,3617,1411,666,12150,2424
depart,0,70,3,18,690,5,18,42,1,2,179,1107,1,2983,96,239,559,7,6,72,11,420,36,96,5437,0,0,44654,3513,673,279,683,48,3350,118,21,1,549,77,1,0,96,2977,112,19,75,57,25,60,17,3393,722
derogate,0,0,0,0,1,7,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,1,3,0,0,421,6,2,27,0,0,2,1,0,0,4,0,0,0,0,14,0,0,2,0,0,0,3,0,0
descend,0,119,15,54,282,16,7,96,58,2,113,1257,3,2072,50,1832,395,61,907,48,37,589,3305,379,898,2,6,42006,4429,68358,549,374,88,16621,177,947,1,305,573,193,1,1371,17944,76,171,609,225,147,16414,65,1895,450
devolve,0,21,0,5,132,76,0,32,6,0,88,896,1,187,83,2139,80,1,8,13,28,80,501,322,302,0,0,2095,3547,156694,1208,12,17,630,54,85,0,61,463,33,0,43,15122,7,43,118,47,1,297,12,246,56
dial,0,169,150,41,513,76,22,133,17,17,682,3298,12,3781,298,48566,1175,99,148,470,29,1294,24878,334,12026,0,109,3805,95326,5708,95848,3888,608,22482,2496,73,127,7037,535,231,21,450,22191,57,60,202,311,127684,14,380,12191,722
die,0,5806,635,730,119273,11052,221,10747,783,371,14563,200090,230,312855,6216,10679,302013,5293,510,4098,619,264779,141681,33833,754965,4,40,850912,1757143,2923,57226,621944,267049,546136,40559,235,525,297603,52392,651,281,7675,600162,22038,141,710,19644,4294,5549,12184,250547,137822
dig,0,6741,188,155,1060,5731,57,219,46,85,84522,7197,69,137988,1948,9329,1214,431,1297,320,602,2430,46722,3515,86197,11,134,3301,199966,277552,614757,1400,411,32332,8120,96,239,132425,2585,2224,153,205469,34765,177,285,1601,11395,383060,49,1476,7553,995
dine,0,80,14,17,112,6,2,21,29,6,270,322,2,9204,59,7,262,16,5,46,1,436,52,25,2705,0,0,170,25107,17,484,118,154,12150,58,0,0,14061,90,2,2,34,634,1161,0,2,84,28,806,12,13584,189
dip,0,881,287,321,8645,180,102,304,56,7,3610,10520,33,17607,863,9880,6429,1049,37472,2265,120,4266,19773,2104,32588,0,365,11087,213024,124043,58656,11935,2578,35768,2895,276,25,29447,2557,379,30,629,39773,228,175,674,5474,980,50,521,19964,1498
disagree,0,261647,43,141,2071,431,10,246,532,43,162,36521,67,30738,329,454,1050,57,55,304,120,3683,207,4273,20494,0,2,5518,48251,215,24181,4260,81,622372,1675,13,12,695,12374,33,4,202,34014,53,7,47,187,175,2031,110,7546638,17108
dish,0,1388,259,204,2649,155,67,487,181,73,1099,10079,120,16356,816,2370,4076,215,138,222,71,4213,957,1037,33437,0,20,13723,40635,2344,68284,41329,1843,22816,1498,313,61,213636,2245,19,22,268,41799,1030,67,139,973,4174,182,148,44846,3679
dispense,0,91,15,3,53,7,0,4,11,0,35,1116,0,519,23,21,49,5,7,26,2,111,14,73,375,0,3,802,723,540,5022,1887,23,333,525,71,0,245,112,2,5,81,914,1,8,8,59,91,61,34,28991,169
dispose,0,16,0,0,157,2,1,2,0,0,10,265,0,228,20,5,44,1,0,3,1,111,23,17,153,1,0,57,703,81,2650,291265,1105,236,121,2,0,10,53,1,0,10,198,1,1,11,5,13,6,2,421,33
dissolve,0,318,11,20,2228,34,7,95,9,10,386,3602,1,2003,2649,1277,1479,25,26,260,5,874,142,357,1434,0,0,1151,41152,28142,26838,533,359,2984,769,36,7,619,1796,23,1,379,2284,88,2,14,3008,138,234,78,2069,751
dive,0,1026,123,1273,9026,3136,111,334,56,13,2736,12532,80,24288,3249,24305,3203,2851,1064,1463,249,8650,29639,2852,43232,11,1551,14070,249704,385753,6390,6406,15207,47728,1498,5164,59,10692,4920,1765,37,9339,44388,749,638,2453,8942,2013,184,866,36731,4940
divide,0,647,54,565,558,364,6,1599,5242,35,292,6269,47,3063,121,267,847,60,14,128527,64,151777,870,1925,4495,0,4,2832,69143,19349,91131,9250,334,10323,2341,76,50,3505,3028,39,7,1394,8485,56,17,56,173,39844,76,56,5998,818
divvy,0,12,1,4,8,2,0,3,13,0,15,54,0,44,2,18,16,0,1,32,0,16,10,5,195,0,0,41,143,52,3987,35,12,104,18,2,1,1884,13,0,1,5,236,1,0,2,0,16068,0,1,31,7
do,1,2200248,8798,4655,395373,167128,4919,11130,2689,10715,112443,1978078,17355,1060029,270868,62916,343216,18782,2791,36257,19081,249461,24766,248974,3075574,319,3134,252202,4441366,16958,48718861,65631,25753,1386724,1239311,6101,40132,61760,173841,8470,6232,34880,6568270,109865,2020,10116,42385,73958,5852,107536,27558743,688799
dob,0,33,11,5,77,19,0,32,3,4,55,997,3,349,4,28,204,3,8,12,0,100,26,61,1344,0,0,425,2136,140,233,893,86,2838,40,12,0,126,96,0,0,39,1467,5,0,2,61,39,8,10,727,105
dole,0,58,2,6,198,28,3,12,6,2,28,913,1,503,44,102,189,3,0,17,0,271,28,84,3346,0,0,377,2494,70,4051,533,45,540,89,9,0,51950,170,2,1,27,1743,5,0,3,40,85,5,7,578,143
doll,0,350,94,197,1578,209,10,127,66,87,1198,5834,48,5013,634,1166,1321,435,45,143,10,2542,1198,464,15511,1,15,10533,27267,1893,2280,13742,612,11123,1013,139,42,4626,951,25,8,279,18359,113,11,65,618,3549,50,102,17769,912
doss,0,315,0,1,20,2,3,2,0,0,235,107,0,87,3,50,19,1,0,2,0,10,44,7,166,0,1,96,249,8,233,115,81,150,14,0,1,37,30,0,2,6,161,1,0,1,0,14,0,0,54,6
double,1,699,266,256,4780,3847,63,224,83,25,503,127131,94,14502,491,32869,3062,464,372,774,3528,8792,347502,2286,99315,2,1329,13378,91762,2225,86175,49220,5113,32701,5293,93,662,2479,16105,363,5501,737,43011,135,47,210,4499,157201,126,347,28332,2647
doze,0,21,1,3,105,3,1,8,1,0,36,258,0,224,84,376,75,3,0,32,3,97,38,69,1010,0,2,262,1302,70,310,1387,26125,1625,17,0,2,85,73,2,0,241,737,13,0,2,28,14,4,1,303,51
draft,1,2029,308,199,12102,4818,700,947,230,104,6580,34627,391,35243,1132,3069,11583,2218,176,979,186,17315,1192,4894,98761,1,104,20068,85613,3464,24663,109259,2626,29375,25264,147,327,5240,4855,339,2790,1604,72539,1289,87,450,994,15265,122,682,58634,6713
drag,0,990,138,4446,2836,1224,35,9155,41,43,13515,14906,46,14343,2363,16620,2251,2761,116,845,169,4663,47487,1669,23421,23,243,19320,37925,7416,186591,18835,6699,168051,6976,1089,170,94039,5196,382,80,4897,56569,293,153,844,956,13209,179,504,12093,1647
draw,0,8228,638,876,10211,26609,201,1174,406,196,5328,53314,289,50891,12872,64252,7704,681,325,13816,496,12838,22289,11111,162118,897,139,246198,229010,46318,253175,90800,11555,221760,52584,798,311,129998,17004,644,544,8408,117090,2275,706,3063,2056,109222,26766,3070,89430,8107
dream,0,335732,263,202,12274,498,124,705,278,287,1404,41924,369,34947,3202,3037,13570,395,73,387,450,21386,1732,5094,135321,2,106,19716,103459,5862,39190,1085657,3276,61905,10232,213,118,3161,4954,104,93,2625,216767,2274,45,165,684,44362,496,1072,40914,6150
dredge,0,35,7,15,105,103,2,49,4,10,86,982,9,477,67,297,203,11,4,14,1,136,111,157,1395,6,6,445,5132,341,3481,865,118,1035,262,6,5,765,140,18,10,2225,1466,33,1,6,21,21845,2,26,1431,268
dress,0,955,734,180,3641,538,83,459,156,270,3220,102544,222,26717,561,3745,6291,510,237,432,124,7805,20873,2704,143077,0,32,41604,193832,2586,65602,15253,9684,54556,5577,274,311,8599,4538,79,40,636,96259,816,34,155,1530,579184,94,1424,79878,5861
drift,0,1282,279,2173,2033,181,86,2224,214,27495,10978,4716,53,4901,49374,12832,804,348,172,3328,90,4444,5002,1007,6037,6,1375,11289,31654,27935,4520,9161,52094,12716,920,810,98,9690,7498,1037,214,7477,25752,516,3364,11689,434,3257,70,380,8815,1326
drill,0,936,185,136,1436,708,60,213,34,68,826,5944,18,9964,1052,1035,2346,146,116,310,30,3503,38573,575,32824,1,68,6240,31235,38279,37571,3042,1117,14333,3399,186,354,26763,1171,224,107,21734,35169,249,51,133,858,2352,25,179,21039,1581
drink,0,32439,517,817,49494,1109,319,2307,528,178,19076,92985,483,255345,15177,5303,56760,1435,272,5309,654,17562,13288,13817,161379,14,39,199118,277603,9624,692878,129450,5727,153876,51154,1233,243,82828,15052,1448,313,10421,228705,15974,94,332,3837,44844,444,15726,413823,28770
drive,0,30123,3522,54940,42388,10096,4480,17481,760,3403,362415,136635,460,160965,246404,133097,33511,15223,2939,18788,1307,284453,233225,18951,495087,153,14387,349098,664470,145518,560844,92351,144259,438533,89003,9687,1080,178377,133196,87364,4146,372434,1457015,4902,5234,17930,28263,311794,845,46681,296612,65742
drone,0,1147,1113,174,1864,396,546,396,48,60,3279,7563,25,10459,776,2226,3012,776,107,201,52,2297,2763,859,19770,2,69,8835,31632,5159,4371,10028,1203,40453,949,285,56,8569,7250,204,138,1745,44060,123,24,175,697,6721,34,179,24360,2356
drop,1,20788,2701,10352,62481,3657,381,3081,782,174,15621,103352,386,163861,8372,105937,34274,5199,115011,12065,721,218017,444710,30470,214021,7,1115,412373,1442551,131541,1095944,567982,663850,351573,128013,15432,1765,655468,30805,2731,461,22307,533147,1618,375,1873,13823,10194,2177,6705,91585,12697
drown,0,61,32,11,1116,64,0,154,109,2,112,2361,2,3744,583,62,2110,23,43,148,5,3173,323,547,1845,0,1,2706,248416,719,34200,220,320,4318,889,5,2,145278,295,9,1,104,4064,488,5,13,1447,212,59,54,4021,914
drug,0,414,184,1161,4231,1461,51,1778,579,142,2230,20752,248,16143,1621,1607,6823,959,52,191,244,9696,3003,2828,87372,0,31,12461,85530,13300,18943,70768,2107,23288,1946,384,27,19345,4537,519,61,7406,122348,231,35,183,4743,3301,96,471,25954,6297
drum,0,2286,60,68,698,621,11,1175,20,62,489,4138,20,4283,230,592,1063,201,38,156,8,2751,424,347,16718,0,53,3280,19119,2130,3203,21279,2176,13121,826,131,75,2059,1447,14,64,393,13436,154,21,71,245,131965,29,113,10136,774
dry,0,4010,239,206,26544,743,44,310,45,65,3091,124539,91,30910,383,1236,47072,261,165,6913,150,26192,22445,5295,112069,1,22,15426,95812,2840,154486,19977,49794,66552,9303,369,251,285208,8523,166,147,2490,56838,466,62,335,3334,150698,292,2807,56680,8749
dub,0,225,22,23,984,316,9,98,20,19,183,6814,76,3172,40,557,1075,30,3,37,18,1757,164,1020,24412,0,8,2512,12600,308,13978,33317,227,7761,810,48,12,1223,9928,58,16,151,8681,96,3,14,60,513,13,191,5907,709
duck,0,3113,86,216,2169,1104,15,124,122,30,3422,7454,66,7795,2859,5602,2899,14346,516,435,17,3016,13985,962,24226,0,94,6475,41366,16075,12294,4517,5700,15476,2361,143,62,33898,1733,159,85,1590,22687,115,17,98,15838,5206,42,197,18984,1569
duff,0,32,2,2,62,2,3,8,9,0,45,354,3,337,10,104,72,7,1,9,1,212,22,41,571,0,1,388,1227,49,452,236,34,505,404,5,1,85,52,0,2,11,547,15,0,1,30,129,3,6,290,16
dumb,0,40195,67,160,8506,511,20,310,142,58,1678,655503,132,44471,76,3359,3600,300,56,116,1454,15377,64317,7343,203691,3,58,9647,81732,488,127594,48894,1045,43352,49958,29,282,2780,3296,223,282,333,606941,824,43,251,308,604,75,42291,38122,4040
dump,0,4148,145,246,7442,232,131,321,26,26,989,12521,61,17941,723,2347,6326,700,448,429,32,4151,2922,1927,24272,2,51,11178,100617,31636,220772,49654,18709,135759,5922,1988,89,28203,3546,59,96,754,24352,222,34,164,585,887,199,726,11955,3161
dust,0,906,344,537,9407,907,75,1185,211,54,6919,22522,165,18050,4308,6086,6844,2698,288,2063,93,18002,4252,2111,68408,0,18,63066,158461,14241,36238,32120,113492,107228,2010,963,29,35220,6252,91,166,1769,96379,588,103,517,7131,8934,750,300,24693,2782
dwell,0,656,102,15,63,8,2,28,1173,29,538,445,2,949,34,73,60,60,119,117,234,249,159,76,1326,1,0,105,47307,2747,154,192,68,246546,28,35,1,65,2144,15,5,30,1080,510,0,10,271,140,3656,65,4967,109
earth,0,7150,1545,970,29839,3264,183,2495,901,1689,12129,120334,651,70393,2453,5931,25823,3114,5641,2280,856,65580,4203,9177,148291,2,131,80887,199037,23716,29778,22309,2153,47376,24435,830,896,7232,8440,485,2106,9026,315108,3556,425,1423,5916,4935,1258,2110,125954,19908
ease,0,7011,50,164,3043,647,18,256,173,27,3413,11452,43,14659,1229,22003,1803,123,15,447,50,7103,2829,2014,9637,2,228,2601,49277,103597,20198,620922,39413,12252,1041,659,114,7554,2231,281,10,1921,21475,95,64,241,244,116740,139,219,64988,2509
eat,0,49123,5593,422,45351,800,893,2474,281,279,48460,185374,274,629773,61105,25986,82279,345,8445,16821,1434,21577,2713,24528,236928,2,13,76140,293367,53176,2178573,21258,38257,111568,152926,112,349,292780,22908,3573,393,42108,122927,25120,90,422,13448,261387,275,29998,202352,40451
ebb,0,6,2,6,78,11,1,8,5,0,21,244,0,162,1464,137,40,4,2,30,0,38,56,15,274,1,2,155,862,116,52,1176,90,227,47,4,3,205,72,4,1,36,308,0,12,54,6,21,0,4,206,16
edge,0,16749,1547,1078,9540,16180,815,2304,506,80,7306,44076,160,33016,3381,6461,9244,841,354,12047,420,23386,3907,4979,98071,4,1098,21188,171926,18331,25342,1997090,123596,131718,3743,1340,667,29641,97686,872,274,2940,237700,575,1549,5120,1619,9588,176,732,67043,7620
edit,0,14783,20737,120,23592,151,72,448,45,79,2441,34507,266,21238,2476,1922,14805,92,3633,658,136,10050,6401,2439,277174,3,24,27813,148354,7349,670057,85319,1545,76407,14725,418,205,100811,2258,360,256,1943,500240,5816,39,248,986,4246,577,567,59349,5026
egg,2,2685,352,290,6628,2375,59,662,194,176,1876,19310,237,24940,1187,6317,11106,631,171,1673,48,9069,1601,1745,145113,3,46,40938,161623,21112,10668,26161,3949,129423,4098,1326,1137,7727,8782,86,165,1661,75347,1335,82,326,2205,4721,474,334,76254,5754
eke,0,7,1,4,2,0,19,23,0,1,6,69,0,12,39,18,1,0,0,0,0,554,2,11,11,1,4,26,79,123,539,19,4,22,91,0,0,27723,21,38,0,134,30,7,1,8,2,30,0,2,27,0
elbow,0,568,621,572,2556,2173,13,201,12,37,726,6441,48,8080,550,2630,1804,778,180,277,40,2603,6787,404,6513,1,651,10026,24464,9457,1925,4764,1894,28114,588,511,420,6357,1161,297,31,1373,60713,155,217,765,738,6221,83,266,9255,806
embark,0,32,5,89,63,8,0,17,1,0,19,263,0,345,10,56,89,0,1,10,7,100,316,27,622,1,2,400,2890,696,168,109,25,73135,68,221,0,59,112,3,0,33,1221,68,9,50,8,34,5763,4,2593,235
empty,0,1994,190,218,16857,248,72,213,23,1251,1560,42982,1645,30492,251,2834,10906,605,116,1137,204,12348,607,4378,66398,5,107,6947,40611,5092,69005,44148,563,26384,28187,370,3108,39931,1581,278,357,563,30144,50,53,298,440,1392,571,1399,18712,21548
end,0,37280,2263,1075,92636,7859,487,3501,473,1177,32150,205894,877,257893,3028,10174,85160,1895,1098,7504,859,99807,8711,32167,410318,37,1126,42923,1366161,23693,1599159,26812875,32600,279335,55929,1613,2927,20845,26452,1145,2502,9844,1208576,4473,1447,3959,6758,19149984,1399,4403,1171387,59706
endow,0,2,1,1,1,0,0,0,0,0,0,5,0,13,0,0,1,0,0,0,0,2,0,5,25,0,0,5,30,5,494,5,0,41,106,11,0,1,0,0,0,1,54,0,0,0,0,4,71,0,267,1
engage,0,1175,88,160,3287,2508,27,143,11,27,454,10764,52,24323,150,1434,2507,105,73,159,1020,3532,157,1943,7835,2,78,10601,1696498,6830,19338,1186,729,53290,4488,2195,62,567,1165,409,12,822,9607,401,19,66,589,548,515,203,526329,5751
enlarge,0,6,3,1,68,2,0,6,2,0,15,383,0,191,4,15,37,6,0,2,38,159,5,38,349,0,1,151,438,92,9691,34,1,1516,301,13,0,9,96,11,1,16,1364,1,5,6,9,29,117,7,299,75
enter,0,762,224,84,11168,270,90,276,87,13,632,25738,26,30915,167,3582,7220,414,361,1757,92,9151,608,2043,46650,11,41,20914,116849,321888,164393,1157,559,30387,75597,1022,1007,692,901,338,314,30494,66665,937,14,81,2509,1282,1423,255,32998,15797
even,1,246373,37330,26890,2733153,164089,7965,3316,161515,10342,57339,1536696,24053,1653320,3651,199040,1086310,19058,27519,55281,74259,469461,84273,19478,1936177,287,1968,527185,6252852,83655,209362,117980,34892,2131302,739255,1832,156258,465630,147984,30042,5285,166767,907976,11144,2253,12401,147809,149260,6010,21005,5963034,1403724
explain,0,24632,2080,52,3010,128,277,262,36,46,643,30236,80,16780,105338,883,5630,80,4868,317,1461,8697,465,4862,38517,2,34,6595,190150,477,2403580,1353,648,14535,12939,4,198,1623,7074,974,68,4573,2218534,50,11,67,794,774,138,1470,27667,24990
eye,0,12178,1351,1054,15189,1641,125,1009,483,248,3926,64765,180,100877,5567,7379,17617,1857,266,1192,232,24450,3579,5401,408909,1,257,51919,128095,7419,26241,545628,14555,1764146,7171,853,58659,957619,13874,144,1061,4444,483637,351,9936,22741,2382,8684,1833,741,125965,9087
face,0,71392,4154,4952,143099,42366,446,5276,1720,2217,16857,373183,1040,242973,25405,17363,93748,15572,1678,35783,827,135407,242086,31649,434921,10,14818,150089,1037724,123346,863810,2356640,318069,545391,35732,19460,9094,50390,44627,642,646,17995,1071361,4802,3755,12201,15753,154273,3595,5590,880932,49239
factor,0,6748,861,817,4556,5431,52,1711,5289,217,1175,95064,1668,46622,1029,2028,3245,15588,250,17460,1350,14354,1909,4434,345436,2,14,13640,1814314,196519,31275,469198,931,69168,2313,167,35,25159,5434,218,24,942,226982,270,532,3135,786,2586,286,578,37787,2830
fade,0,388,48,166,11673,375,11,412,45,120,1302,19925,16,10043,238911,13192,2753,408,72,2627,68,3402,1940,1638,14425,0,161,26475,70635,92196,12717,3644,7685,22133,1223,205,33,100486,19791,91,9,1058,108167,578,197,724,407,2478,134,592,28100,1209
faff,0,5878,2,1,12,3,1,3,0,1,4010,138,4,107,6,3,22,4,0,14,0,13,3,10,497,0,0,40,258,8,122,1053,184,352,4,0,0,48,61,0,6,5,2036,0,0,0,0,30,0,3,1116,11
fake,0,14632,67,64,4729,376,32,422,91,118,1502,168519,177,22237,271,2330,4525,500,38,120,340,13595,632,5025,27664,3,98,15618,34240,1110,369123,8185,1537,19350,78786,39,550,72957,2353,461,311,796,85877,80,80,521,539,4367,126,3043,14568,4193
fall,6,5753,1804,2568,21642,3661,354,9706,924,585030,10406,57984,518,66858,48355,741766,22875,202838,49441,21016,951,51495,368021,15055,983480,26,17757,221058,1457908,1660177,16192,714623,897835,547568,8421,36710,2329,669176,231243,4008,92,175031,486716,9261,2805,10138,747236,6369,20524,7631,56728,10761
fan,0,12411,5007,1244,32373,1102,102,1142,915,393,9276,116019,639,126648,1257,21333,33903,5664,1370,1452,342,36717,5391,13482,268819,0,47,96914,350756,9166,64036,9109806,16935,217103,5607,1350,459,38143,18597,256,180,11195,218168,413,242,1295,3980,11471,174,2175,90873,8944
farm,0,4692,823,1195,9509,3750,434,1068,161,92,4622,56556,171,45683,4968,5095,9525,1567,405,1862,331,21138,4671,7300,309444,0,69,34754,198123,4529,106247,18903,4512,73843,12941,285,568,25695,6396,755,117,2734,130066,4255,84,658,20964,97712,105,2214,116200,14981
fart,0,3781,93,176,3910,271,41,149,50,44,14016,6586,37,12946,1768,987,2045,226,24,206,15,2046,530,589,8095,5,39,6601,118385,7515,5174,11913,528,48718,939,173,22,18154,1382,110,20,5608,8968,367,38,185,1258,1074,129,368,7810,3474
fasten,0,11,17,8,10,12,0,6,0,0,213,85,0,202,4,31,16,24,14,16,0,48,298,11,58,0,3,48,389,124,7127,17,550,493,219,159,5,12,44,0,4,42,1512,209,1,0,26,842,32,2,595,29
fathom,0,410,12,1,110,10,5,5,3,8,13,1515,5,1404,12,38,199,17,15,15,64,182,10,888,2451,0,2,438,1759,237,21878,923,16,461,562,1,13,467,73,10,2,31,2888,3,0,5,45,79,9,16,569,216
fatten,0,3,1,1,3,0,0,2,0,0,0,31,0,23,3,67,21,0,1,1,3,13,3,7,54,0,0,10,42,4,1832,4,2,133,31,0,0,187,17,1,0,0,35,0,0,0,2,13739,18,6,27,4
favour,0,152,37,75,1556,669,14,74,384,21,139,7614,17,5620,51,624,991,23,5,105,34,32212,147,968,22977,0,144,5337,15340,149,4101,723676,177,3510,7431,26,177,286,1499,17,11,356,23658,9,191,883,200,157,283,51,18787,641
fawn,0,258,2,7,301,5,3,6,4,8,62,333,1,537,43,116,83,29,0,4,0,161,64,31,564,0,0,405,1451,71,85,554,46,981,249,3,2,130,45593,2,2,18,867,9,2,6,25,61,99,8,683,43
fear,0,51886,563,830,7321,4455,108,523,8121,94,6346,60285,1340,32315,3202,2780,9606,3015,56,653,619,22106,1389,6645,369616,1,21,69397,206571,63994,160856,3321745,1984,32010,6039,1702,335,6504,15751,57,32,6195,126512,297,809,4560,1459,1368,1333,342,40717,3907
feast,0,148,19,22,1357,1350,34,78,82,6,167,2431,11,5600,338,124,1326,63,26,205,13,1198,245,299,55440,0,2,1545,11520,200,670,46485,1575,76113,306,8,42,539,526,7,11,77,5827,615,4,8,146,278,11060,27,9219,541
feed,2,7168,311,301,7073,717,102,647,432,70,2093,25733,49,23871,2100,128065,11010,301,236,951,129,11679,2500,3942,268109,0,1678,58020,67280,118455,283143,67845,124238,177575,16232,712,424,6506,4527,239,71,7874,183024,953,51,191,1027,8251,4897,773,44776,5585
feel,0,2827750,5172,1391,114670,4903,987,2168,696,6809,29447,1494664,442,276625,1326,14359,17511,9150,1212,7473,3015,23509,82153,244253,1784223,1,251,81183,358277,11151,3049713,824772,41217,139799,48789,1013,5015,147125,23601,623,347,10098,777452,1363,8001,38264,20037,74697,2032,102324,147928,27522
